GCF	BGC Name	Organism	BGC Class	product	description
GCF138	BGC0000157	Streptomyces sp. CK4412	PKS	T1PKS	Streptomyces sp. CK4412 tautomycetin biosynthetic gene cluster, complete sequence
GCF179	BGC0002919	Streptomyces cirratus	NRPS.PKS	NRPS.NRPS-like.T1PKS	Streptomyces cirratus 248-Sq2 DNA, cirratiomycin biosynthesis gene cluster, complete sequence
GCF37	BGC0000451	Teredinibacter turnerae T7901	NA	unknown	Teredinibacter turnerae T7901, complete genome
GCF13	BGC0000459	Streptomyces griseoviridis	NRPS.PKS.other	NRPS.butyrolactone.transAT-PKS	Streptomyces griseoviridis culture-collection NRRL:2427 griseoviridin and viridogrisein Sgv gene cluster, complete sequence
GCF10	BGC0002641	Bacillus velezensis FZB42	NRPS	NRPS	Bacillus amyloliquefaciens subsp. plantarum str. FZB42, complete genome
GCF247	X00003_1.region004	Paenibacillus sp Unclassified.	other	NI-siderophore	Paenibacillus sp strain X00003
GCF54	BGC0000262	Streptomyces sp. PGA64	PKS.other.saccharide.terpene	T2PKS.butyrolactone.oligosaccharide.terpene-precursor	Streptomyces sp. PGA64 silent angucycline-type gene cluster, partial sequence
GCF51	BGC0001923	Acremonium egyptiacum	NRPS.PKS.terpene	NRPS-like.T1PKS.terpene	Acremonium egyptiacum F-1392 DNA, ascochlorin biosynthesis gene cluster, complete sequence
GCF51	BGC0000264	Streptomyces resistomycificus	PKS	T2PKS	Streptomyces resistomycificus remA-R gene cluster
GCF164	BGC0001199	Streptomyces sp. NBRC 109706	PKS	T1PKS	Streptomyces sp. NBRC 109706 DNA, contig: scaffold00008, whole genome shotgun sequence
GCF10	BGC0002879	Streptomyces sp.	NRPS.PKS	NRPS.arylpolyene	Streptomyces sp. clone PAC119_J3 cinnamexin biosynthetic gene cluster, complete sequence
GCF239	BGC0000521	Lactococcus lactis subsp. lactis	RiPP	lanthipeptide-class-ii	Lactococcus lactis subsp. lactis plasmid pES2 transposon Tn5721 and lacticin 481 operon, complete sequence; and unknown genes
GCF86	BGC0001273	Aspergillus ochraceus	PKS	T1PKS	Aspergillus ochraceus clone 2 MSAS-type polyketide synthase gene, complete cds
GCF97	BGC0000699	Streptomyces hygroscopicus subsp. hygroscopicus	other	2dos	Streptomyces hygroscopicus subsp. hygroscopicus genomic region of the gene cluster for hygromycin B biosynthetis, strain DSM 40578
GCF159	BGC0002546	Chaetomium globosum	NRPS.PKS	NRPS.T1PKS	Chaetomium globosum strain E-C-2 PKS-NRPS hybrid gene cluster, complete sequence
GCF164	BGC0002500	Streptomyces pactum	PKS	T1PKS	Streptomyces pactum strain ATCC 27456 NFAT-133 biosynthetic gene cluster, complete sequence
GCF97	BGC0002747	Lentinula edodes	RiPP	fungal-RiPP	Lentinula edodes strain Le(Bin) 0899 ss11 C8R40scaffold_10, whole genome shotgun sequence
GCF117	BGC0001884	Fischerella sp. PCC 9339	NRPS.PKS	NRPS.NRPS-like.T1PKS	TPA_exp: Fischerella sp. PCC 9339 aranazole biosynthetic gene cluster, complete sequence
GCF213	BGC0000790	Escherichia coli	NA	unknown	Escherichia coli strain H515b O-antigen biosynthesis gene cluster, complete sequence
GCF258	BGC0002294	Streptomyces achromogenes subsp. streptozoticus	NA	unknown	Streptomyces achromogenes subsp. streptozoticus strain NRRL 3125 RNA polymerase sigma factor SigA, ABC transporter ATP-binding protein, xylulose kinase, phosphoglyceromutase, ATP synthase subunit b, pentatricopeptide repeat-containing protein, ribonuclease, and tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase genes, complete cds; streptozocin biosynthetic gene cluster, complete sequence; and putative hydrolase, multidrug resistance protein, serine/threonine-protein kinase, and nitrate regulatory protein genes, complete cds
GCF249	BGC0002577	Lactococcus lactis	RiPP	RiPP-like	Lactococcus lactis strain LMGT 2081 lactococcin G gene locus, complete sequence
GCF27	BGC0000309	Bacillus subtilis subsp. subtilis str. 168	NRPS	NRP-metallophore.NRPS	Bacillus subtilis subsp. subtilis str. 168 complete genome
GCF25	BGC0000399	Pseudomonas protegens Pf-5	NRPS	NRPS	Pseudomonas protegens Pf-5, complete genome
GCF41	BGC0000810	Zea mays	NA	unknown	Zea mays cultivar B73 chromosome 4
GCF165	BGC0002958	Streptomyces sp.	PKS	T1PKS	Streptomyces sp. AM4900 DNA, pikromycin biosynthetic gene cluster
GCF166	BGC0002988	Streptomyces sp. FXY-T5	PKS	T1PKS	Streptomyces sp. FXY-T5 chromosome, complete genome
GCF97	BGC0002410	Parafrankia sp. CH37	NRPS	NRP-metallophore.NRPS	Parafrankia sp. CH37 Contig1, whole genome shotgun sequence
GCF87	BGC0000056	Actinomadura verrucosospora	PKS	T1PKS	Actinomadura verrucosospora strain ATCC 39334 esperamicin enediyne iterative type I polyketide synthase gene locus, partial sequence
GCF82	BGC0002995	Penicillium soppii	NRPS	NRPS	Penicillium soppii culture CBS:869.70 N-methyltransferase (PscyA) and nonribosomal peptide synthetase (PscyB) genes, complete cds
GCF261	BGC0000252	Streptomyces griseus subsp. griseus	NA	unknown	Streptomyces griseus subsp. griseus nonactin biosynthesis gene cluster, partial sequence
GCF246	BGC0001055	Escherichia coli	NRPS.PKS	NRP-metallophore.NRPS.T1PKS	Escherichia coli genome fragment containing the yersiniabactin, cob and pdu gene clusters, strain A0 34/86
GCF104	BGC0001743	Lactiplantibacillus plantarum	RiPP	RiPP-like	Lactiplantibacillus plantarum strain NI326 contig_0075, whole genome shotgun sequence
GCF223	BGC0000062	[Gibberella] fujikuroi var. moniliformis	PKS	T1PKS	Gibberella moniliformis fumonisin biosynthetic gene cluster, complete sequence
GCF92	BGC0001593	Streptomyces ficellus	NRPS	NRPS	Streptomyces ficellus ficellomycin biosynthesis gene cluster, complete sequence
GCF213	BGC0000334	Tolypocladium inflatum	NRPS.PKS	NRPS.T1PKS	Tolypocladium inflatum strain NRRL 8044 unitig_4, whole genome shotgun sequence
GCF101	BGC0001426	Myxococcus xanthus	NRPS.PKS	NRPS.T1PKS	Myxococcus xanthus strain DK897 myxochromide A biosynthetic gene cluster, complete sequence
GCF269	BGC0002901	Dellaglioa algida	NA	unknown	Lactobacillus algidus strain CMTALT10 genome assembly, contig: CMTALT10_Contig_13, whole genome shotgun sequence
GCF177	BGC0001221	Streptomyces sp. CNQ-509	other	other.phenazine	Streptomyces sp. CNQ-509 putative phenazine biosynthetic gene cluster, complete sequence
GCF145	BGC0001445	Aspergillus flavus NRRL3357	NRPS.PKS	NRPS.T1PKS	Aspergillus flavus NRRL3357 scf_1106286418500 genomic scaffold, whole genome shotgun sequence
GCF32	BGC0001110	uncultured bacterium psy1	NRPS.PKS	NRPS.PKS-like.prodigiosin.transAT-PKS	Uncultured bacterium psy1 psymberin biosynthetic gene cluster, partial sequence
GCF89	BGC0002169	Aspergillus aculeatus ATCC 16872	NRPS.PKS	NRPS.T1PKS	Aspergillus aculeatus ATCC 16872 unplaced genomic scaffold ASPACscaffold_11, whole genome shotgun sequence
GCF3	BGC0001822	Cystobacter sp.	NRPS	NRPS	Cystobacter sp. strain Cb vi35 vioprolide biosynthetic gene cluster, complete sequence
GCF117	BGC0001571	Nodulisporium sp.	terpene	terpene	Nodulisporium sp. strain JNvid demethoxyviridin biosynthetic gene cluster, complete sequence
GCF88	BGC0001441	Streptomyces sp.	other	betalactone	Streptomyces sp. strain UCK 14 glyoxalase gene, complete cds; bel gene cluster, complete sequence; and SAM-dependent methyltransferase gene, complete cds
GCF20	BGC0001740	Streptomyces avermitilis	NRPS.PKS	NRPS.NRPS-like.transAT-PKS	Streptomyces avermitilis DNA, gene cluster for phthoxazolin biosynthesis, strain: KA-320
GCF164	BGC0001492	Streptomyces sp. LC-6-2	PKS	T1PKS	Streptomyces sp. LC-6-2 abs biosynthetic gene cluster, complete sequence
GCF263	BGC0000735	Pasteurella multocida	NA	unknown	Pasteurella multocida capsule biosynthesis gene cluster, complete sequence
GCF272	BGC0001687	uncultured bacterium CSL12	other	acyl_amino_acids	Uncultured bacterium CSL12, partial sequence
GCF167	BGC0002964	Streptomyces peucetius subsp. caesius ATCC 27952	PKS	T1PKS	Streptomyces peucetius subsp. caesius ATCC 27952 chromosome, complete genome
GCF2	BGC0000971	Streptomyces cinnabarigriseus	NRPS.PKS	NRPS-like.T1PKS	Streptomyces sp. JS360 cinnabaramide biosynthetic gene cluster
GCF273	BGC0000875	Streptomyces sp. MK730-62F2	other	nucleoside	Streptomyces sp. MK730-62F2 caprazamycin biosynthetic gene cluster, complete sequence
GCF226	BGC0001341	Rothia nasimurium	NRPS	NRPS	Rothia nasimurium strain PT-32 scaffold4_size309601, whole genome shotgun sequence
GCF174	BGC0003000	Streptomyces lavendulae subsp. lavendulae	NRPS	NRPS-like	Streptomyces aureofaciens strain CCM3239 plasmid pSA3239, complete sequence
GCF54	BGC0000225	Streptomyces roseofulvus	PKS	T2PKS	Streptomyces roseofulvus frenolicin biosynthetic gene cluster, complete sequence
GCF257	BGC0001164	Gloeothece verrucosa PCC 7822	PKS	T1PKS	Cyanothece sp. PCC 7822, complete genome
GCF255	BGC0000694	Niallia circulans	other	amglyccycl	Bacillus circulans genomic region of the butirosin biosynthetic gene cluster, strain ATCC 21557
GCF50	BGC0002604	Aspergillus felis	PKS.terpene	T1PKS.terpene	Aspergillus felis 0260 DNA, sartorypyrone A biosynthetic gene cluster, complete sequence
GCF276	X00001_1.region006	Paenibacillus sp Unclassified.	NRPS	NRPS-like	Paenibacillus sp strain X00001
GCF198	BGC0000483	Microcystis aeruginosa PCC 9432	RiPP	azole-containing-RiPP.cyanobactin	Microcystis aeruginosa 9432 WGS project CAIH01000000 data, contig AAI_A_2195_263, whole genome shotgun sequence
GCF277	BGC0002983	Streptomyces lavendulae subsp. lavendulae	NRPS	NRPS-like	Streptomyces lavendulae subsp. lavendulae strain BCRC 12163 streptothricin biosynthetic gene cluster, complete sequence
GCF97	BGC0000692	Streptoalloteichus hindustanus	other	2dos	Streptoalloteichus hindustanus partial apramycin biosynthesis gene cluster, type strain DSM 44523T
GCF98	BGC0001840	Streptomyces sp. NRRL S-325	NRPS	NRPS	TPA_exp: Streptomyces sp. NRRL S-325, complete sequence
GCF75	BGC0000597	Streptomyces sp. e14	NA	unknown	Streptomyces sp. e14 supercont1.1, whole genome shotgun sequence
GCF143	BGC0001722	Aspergillus nidulans FGSC A4	PKS	T1PKS	TPA_asm: Aspergillus nidulans FGSC A4 chromosome VI
GCF46	BGC0002154	Pyricularia oryzae 70-15	PKS	T1PKS	Magnaporthe oryzae 70-15 chromosome 2, whole genome shotgun sequence
GCF233	X00001_1.region010	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.transAT-PKS	Paenibacillus sp strain X00001
GCF143	BGC0002255	Ascomycota sp. F53	PKS	T1PKS	Ascomycota sp. F53 clone 375_176, *** SEQUENCING IN PROGRESS ***, 20 ordered pieces
GCF280	BGC0001198	Herpetosiphon aurantiacus DSM 785	terpene	terpene	Herpetosiphon aurantiacus DSM 785, complete genome
GCF14	BGC0001695	Streptomyces conglobatus	NRPS.PKS	NRPS.T1PKS	Streptomyces conglobatus strain ATCC 31005 neoantimycin biosynthetic gene cluster, complete sequence
GCF55	BGC0002443	Streptomyces olivaceus	PKS	benzoxazole	Streptomyces olivaceus mycemycin biosynthetic gene cluster, complete sequence
GCF211	BGC0002904	Aspergillus welwitschiae	PKS	T1PKS	Aspergillus welwitschiae strain ITEM 11945 fumonisin biosynthetic gene cluster, partial sequence
GCF281	BGC0000743	Streptococcus agalactiae	NA	unknown	Streptococcus agalactiae strain Prague 118754 capsular polysaccharide biosynthesis gene cluster, partial sequence
GCF282	X00008_2.region016	Paenibacillus sp Unclassified.	terpene	terpene	Paenibacillus sp strain X00008
GCF12	BGC0001115	Pseudoalteromonas sp. SANK 73390	NRPS.PKS	NRPS.PKS-like.T3PKS.transAT-PKS	Pseudoalteromonas sp. SANK 73390 plasmid pTML1 carrying thiomarinol biosynthesis cluster
GCF138	BGC0002541	Streptomyces sp.	PKS	T1PKS	Streptomyces sp. strain A793 biosynthetic gene cluster, complete sequence
GCF15	BGC0001051	Sorangium cellulosum	NRPS.PKS	NRPS.T1PKS	Sorangium cellulosum strain So ce895 thuggacin biosynthetic gene cluster; complete sequence
GCF107	BGC0000944	Staphylococcus aureus subsp. aureus NCTC 8325	other	NI-siderophore	Staphylococcus aureus subsp. aureus NCTC 8325, complete genome
GCF68	BGC0000914	Streptomyces coelicolor A3(2)	other	butyrolactone.furan	Streptomyces coelicolor plasmid SCP1
GCF90	BGC0002649	Amycolatopsis sp. EV170708-02-1	NRPS.PKS.terpene	NRPS.T1PKS.terpene	Amycolatopsis sp. EV170708-02-1 chromosome
GCF119	BGC0001514	Streptomyces citricolor	NA	unknown	Streptomyces citricolor DNA, aristeromycin biosynthetic gene cluster, complete sequence, strain: NBRC 13005
GCF143	BGC0002196	Penicillium crustosum	PKS	T1PKS	Penicillium crustosum strain PRB-2 clavatol gene cluster, complete sequence
GCF174	BGC0000427	Trichormus variabilis ATCC 29413	NRPS	mycosporine	Anabaena variabilis ATCC 29413, complete genome
GCF33	BGC0002928	Streptomyces sp.	NRPS.PKS	NRPS-like.T1PKS.T3PKS	Streptomyces sp. strain MST-91080 rsn biosynthetic gene cluster, partial sequence
GCF51	BGC0002758	Aspergillus nidulans FGSC A4	NA	unknown	TPA_asm: Aspergillus nidulans FGSC A4 chromosome II
GCF43	BGC0002372	Streptomyces sp.	terpene	terpene-precursor	Streptomyces sp. strain AJS-327 mrt biosynthetic gene cluster, complete sequence
GCF287	BGC0000715	Streptomyces spectabilis	other	amglyccycl	Streptomyces spectabilis spectinomycin biosynthesis gene cluster, complete sequence
GCF335	X00005_1.region002	Paenibacillus sp Unclassified.	terpene	terpene-precursor	Paenibacillus sp strain X00005
